iter	Passed	Remaining
344	854	3602
345	856	3597
346	858	3593
347	860	3588
348	861	3582
349	863	3577
350	865	3573
351	867	3568
352	869	3563
353	871	3560
354	874	3557
355	875	3552
356	877	3548
357	879	3543
358	881	3539
359	883	3533
360	885	3530
361	887	3525
362	889	3520
363	891	3516
364	893	3511
365	894	3506
366	896	3502
367	898	3497
368	900	3492
369	902	3487
370	904	3482
371	906	3480
372	908	3475
373	910	3471
374	912	3467
375	914	3462
376	915	3457
377	918	3453
378	919	3448
379	921	3443
380	923	3438
381	925	3434
382	927	3429
383	928	3424
384	930	3421
385	933	3418
386	935	3415
387	937	3412
388	939	3408
389	941	3404
390	943	3399
391	945	3397
392	947	3393
393	949	3388
394	951	3384
395	953	3379
396	955	3375
397	956	3369
398	958	3366
399	960	3361
400	962	3356
401	964	3352
402	966	3349
403	967	3344
404	969	3339
405	971	3336
406	973	3332
407	975	3328
408	977	3323
409	979	3320
410	980	3315
411	982	3310
412	984	3306
413	986	3302
414	988	3297
415	990	3293
416	992	3290
417	993	3285
418	995	3281
419	997	3276
420	999	3273
421	1001	3269
422	1002	3264
423	1005	3261
424	1006	3257
425	1008	3253
426	1010	3248
427	1012	3245
428	1014	3241
429	1015	3236
430	1017	3232
431	1019	3229
432	1021	3225
433	1024	3223
434	1026	3219
435	1028	3217
436	1030	3213
437	1032	3211
438	1034	3208
439	1036	3204
440	1039	3202
441	1041	3198
442	1043	3195
443	1044	3191
444	1047	3188
445	1049	3184
446	1050	3180
447	1053	3178
448	1055	3174
449	1056	3170
450	1058	3166
